block,supply,timestamp
7495033,82.42148386,2019-04-03T11:27:24
7493658,82.42148386,2019-04-03T06:07:08
7492283,82.42148386,2019-04-03T00:57:15
7490908,82.42148386,2019-04-02T19:50:54
7489533,88.42148386,2019-04-02T14:49:45
7488158,88.42148386,2019-04-02T09:39:44
7486783,88.42148386,2019-04-02T04:09:56
7485408,88.42148386,2019-04-01T22:50:02
7484033,81.42148386,2019-04-01T17:49:32
7482658,81.42148386,2019-04-01T12:46:24
7481283,81.42148386,2019-04-01T07:31:48
7479908,81.42148386,2019-04-01T02:20:03
7478533,81.42148386,2019-03-31T21:25:38
7477158,81.42148386,2019-03-31T16:14:27
7475783,81.42148386,2019-03-31T11:16:27
7474408,81.42148386,2019-03-31T06:00:52
7473033,81.42148386,2019-03-31T00:46:01
7471658,81.42148386,2019-03-30T19:47:31
7470283,81.42148386,2019-03-30T14:42:49
7468908,81.42148386,2019-03-30T09:24:38
7467533,81.42148386,2019-03-30T04:05:08
7466158,81.42148386,2019-03-29T22:54:50
7464783,81.42148386,2019-03-29T17:44:54
7463408,81.42148386,2019-03-29T12:29:27
7462033,81.42148386,2019-03-29T07:20:35
7460658,81.42148386,2019-03-29T02:02:45
7459283,81.42148386,2019-03-28T21:05:24
7457908,81.42148386,2019-03-28T15:48:04
7456533,81.42148386,2019-03-28T10:37:56
7455158,81.42148386,2019-03-28T05:30:33
7453783,73.42148386,2019-03-28T00:13:45
7452408,73.42148386,2019-03-27T19:10:45
7451033,73.42148386,2019-03-27T14:08:33
7449658,73.42148386,2019-03-27T09:07:53
7448283,73.42148386,2019-03-27T03:51:24
7446908,73.42148386,2019-03-26T22:40:13
7445533,73.42148386,2019-03-26T17:30:24
7444158,73.42148386,2019-03-26T12:09:09
7442783,73.42148386,2019-03-26T06:57:01
7441408,73.42148386,2019-03-26T01:47:11
7440033,73.42148386,2019-03-25T20:41:31
7438658,73.42148386,2019-03-25T15:32:15
7437283,73.42148386,2019-03-25T10:22:55
7435908,73.42148386,2019-03-25T05:18:41
7434533,73.42148386,2019-03-25T00:11:42
7433158,73.42148386,2019-03-24T19:06:24
7431783,73.42148386,2019-03-24T13:58:36
7430408,73.42148386,2019-03-24T08:51:00
7429033,73.42148386,2019-03-24T03:37:45
7427658,73.42148386,2019-03-23T22:36:06
7426283,73.42148386,2019-03-23T17:28:55
7424908,73.42148386,2019-03-23T12:19:45
7423533,73.42148386,2019-03-23T07:12:04
7422158,73.42148386,2019-03-23T01:53:43
7420783,73.42148386,2019-03-22T20:57:28
7419408,73.42148386,2019-03-22T15:38:32
7418033,73.42148386,2019-03-22T10:31:18
7416658,73.42148386,2019-03-22T05:22:23
7415283,73.42148386,2019-03-22T00:14:41
7413908,73.42148386,2019-03-21T19:06:29
7412533,73.42148386,2019-03-21T13:58:20
7411158,73.42148386,2019-03-21T08:47:51
7409783,73.42148386,2019-03-21T03:29:46
7408408,73.42148386,2019-03-20T22:23:50
7407033,73.42148386,2019-03-20T17:19:52
7405658,73.42148386,2019-03-20T12:09:51
7404283,73.42148386,2019-03-20T07:03:59
7402908,73.42148386,2019-03-20T01:59:49
7401533,73.42148386,2019-03-19T20:55:54
7400158,73.42148386,2019-03-19T15:53:39
7398783,73.42148386,2019-03-19T10:38:14
7397408,73.42148386,2019-03-19T05:31:43
7396033,73.42148386,2019-03-19T00:23:42
7394658,73.42148386,2019-03-18T19:04:55
7393283,73.42148386,2019-03-18T14:00:35
7391908,73.42148386,2019-03-18T08:46:26
7390533,73.42148386,2019-03-18T03:36:17
7389158,73.42148386,2019-03-17T22:31:43
7387783,73.42148386,2019-03-17T17:12:46
7386408,73.42148386,2019-03-17T12:16:49
